ID_VUZ,Наименование,Город,Адрес,Телефон,Почта,Сайт,Описание
15,Государственный университет управления,Москва,"г. Москва, Рязанский пр., д. 99",+7 (495) 660-93-42,prkom@guu.ru,http://guu.ru/,"Государственный университет управления на протяжении столетия уверенно держит позиции лидера управленческого образования в России. Университет осуществляет подготовку экономистов, юристов, менеджеров в различных областях, политологов, специалистов по рекламе и связям с общественностью и многих других."
16,Российский экономический университет имени Г.В. Плеханова,Москва,"г. Москва, Стремянный пер., д. 36","+ 7 (499) 237-95-07, +7 (499) 237-84-95 (приемная комиссия)",info@rea.ru  ,http://www.rea.ru,"РЭУ им. Г.В. Плеханова - ведущий экономический университет России – университет со 110-летней историей успешных карьер выпускников, выдающихся преподавателей, передовых научных разработок и бизнес-проектов."
17,"Национальный исследовательский университет ""МЭИ""",Москва,"г. Москва, ул. Красноказарменная, д. 14",+7 (495) 362-77-77,PK@mpei.ru,https://mpei.ru/Pages/default.aspx,"Московский энергетический институт - один из крупнейших технических университетов России для подготовки инженеров в области энергетики, электротехники, электроники, информатики."
18,Российский государственный гуманитарный университет,Москва,"г. Москва, Миусская пл., д. 6","+7 (495) 250-71-71, +7 (499) 973-40-16",priem@rggu.ru,http://www.rsuh.ru,"Университет готовит специалистов по широкому спектру гуманитарных направлений, а также в области экономики, юриспруденции и компьютерных наук."
19,Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского,Нижний Новгород,"г. Нижний Новгород, пр-т Гагарина, д. 23",+7 (831) 462-30-03; +7 (831) 462-30-45,priem@unn.ru,www.unn.ru,Нижегородский государственный университет им. Н.И. Лобачевского относится к числу лучших ведущих университетов России и входит в топ-300 лучших вузов по рейтингу QS World University Rankings 2017.
20,Дальневосточный федеральный университет,Владивосток,"г. Владивосток, о-в Русский, поселок Аякс-10, кампус ДВФУ",8-800-555-08-88,vladyka.aa@dvfu.ru,https://www.dvfu.ru/,"ДВФУ - интеллектуально-образовательный и проектно-аналитический центр на Дальнем Востоке России, расположенный на острове Русский на берегу бухты Аякс."
21,Санкт-Петербургский государственный экономический университет,Санкт-Петербург,"г. Санкт-Петербург, ул. Садовая, д. 21",+7 (812) 310-55-55,abitura@unecon.ru,http://unecon.ru/,"Санкт-Петербургский государственный экономический университет (СПбГЭУ) является преемником двух старейших российских экономических вузов и готовит экономистов, менеджеров в сфере сервиса, туризма, управления качеством и смежных отраслях."
22,Российский новый университет,Москва,"г. Москва, ул. Радио, д. 22",+7 (495) 727-35-35; +7 (495) 925-03-88,info@rosnou.ru,http://www.rosnou.ru,"В Российском новом университете можно получить высшее образование юриста, экономиста, инженера, бизнес-аналитика, специалиста по рекламе и связям с общественностью, менеджера по туризму, переводчика, психолога, налогового консультанта и другие."
23,Национальный исследовательский технологический университет «МИСиС»,Москва,"г. Москва, Ленинский проспект, д. 4",+7 (495) 638-46-78; +7 (495) 638-45-16,vopros@misis.ru,http://misis.ru/,"НИТУ «МИСиС» – один из наиболее динамично развивающихся научно-образовательных центров России, отмечающий в 2018 году 100-летие со дня основания Московской горной академии, преемником которой является."
24,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,Екатеринбург,"г. Екатеринбург, ул. Мира, д. 19","+7 (800) 100-50-44, +7 (343) 375-44-44",priem@urfu.ru ,http://urfu.ru/,"УрФУ - один из крупнейших вузов страны, который соединяет весь спектр технического, естественнонаучного и гуманитарного образования. Это центр научной и образовательной жизни, социального проектирования и инновационной активности на Урале. Университет готовит специалистов машиностроения, металлургии и материаловедения, химической технологии, физики, биологии, гуманитарных, экономических и лингвистических специальностей. Есть возможность также получить военную специальность."
25,Российский государственный геологоразведочный университет имени Серго Орджоникидзе,Москва,"г. Москва, ул. Миклухо-Маклая, д. 23",+7 (495) 433-62-56,office@mgri-rggru.ru,http://mgri-rggru.ru/,"МГРИ-РГГРУ готовит специалистов-геологов практически по всем направлениям геологоразведочной отрасли. Инженеры-геологи Университета - это первоклассные специалисты, крайне востребованные на рынке труда."
26,Башкирский государственный университет,Уфа,"г. Уфа, ул. Заки Валиди, д. 32", +7 (347) 229-97-21,abiturient-bsu@yandex.ru,http://www.bashedu.ru,"Старейший вуз Башкортостана ведет подготовку специалистов по широкому перечню направлений: гуманитарных, естественно-научных, экономических, информационных и др."
27,Российский университет дружбы народов,Москва,"г. Москва, ул. Миклухо-Маклая, д. 6",+7 (495) 787-38-27,priem@rudn.university,http://www.rudn.ru,"Российский университет дружбы народов (РУДН) — один из ведущих вузов России, имеет статус университета федерального уровня. Особенностью РУДН является его многонациональность: среди студентов, аспирантов и стажёров — представители 450 национальностей и народностей из более чем 146 стран мира. В учебных группах и комнатах общежитий соблюдается интернациональный принцип, вместе живут и учатся представители разных стран и народов."
28,Российский государственный аграрный университет - МСХА имени К.А. Тимирязева,Москва,"г. Москва, ул. Тимирязевская, д. 49","+7 (499) 977-14-55, 977-12-74 (приемная комиссия), +7 (499) 976-04-80",priem@timacad.ru,http://www.timacad.ru,Российский государственный аграрный университет — МСХА им. К. А. Тимирязева — ведущий и старейший аграрный вуз России.
29,Московский авиационный институт (национальный исследовательский университет) (МАИ),Москва,"г. Москва, Волоколамское ш., д. 4","+7 (499) 158-40-65, +7 (499) 158-47-09",priem@mai.ru,http://www.mai.ru,"МАИ - единственный университет в России, ведущий подготовку кадров по всему жизненному циклу изделий авиационной, ракетной и космической техники от системного проектирования до реализации отдельных высокотехнологичных производств."
30,Казанский (Приволжский) федеральный университет,Казань,"г. Казань, ул. Кремлевская, д. 18",+7 (843) 233-71-09,public.mail@kpfu.ru,http://kpfu.ru/,"Казанский (Приволжский) федеральный университет - высшее учебное заведение Казани, один из девяти российских федеральных университетов."
31,"Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" имени В.И. Ульянова (Ленина)",Санкт-Петербург,"г. Санкт-Петербург, ул. Профессора Попова, д. 5","+7 (812) 346-44-87, 346-29-23 ",root@post.etu.spb.ru,https://etu.ru,"Санкт-Петербургский государственный электротехнический университет ЛЭТИ им. В. И. Ульянова (Ленина) готовит специалистов в сфере информатики и вычислительной техники, приборостроения, радиотехники, инноватики, менеджмента и других."
32,Санкт-Петербургский горный университет,Санкт-Петербург,"г. Санкт-Петербург, 21-я линия В. О., д. 2",+7 (812) 328-89-02,abitur@spmi.ru,http://www.spmi.ru,Санкт-Петербургский горный университет предоставляет лучшее бюджетное образование в области минерально-сырьевого комплекса. Действуют программы двойного диплома.
33,"Национальный исследовательский ядерный университет ""МИФИ""",Москва,"г. Москва, Каширское шоссе, д. 31","+7 (499) 324-84-17, 324-84-00, 324-87-66, +7 (495) 785-55-25 (горячая линия абитуриента)",rector@mephi.ru,http://mephi.ru,"МИФИ в настоящий момент является ведущим университетом России по подготовке специалистов для атомной отрасли: инженеров-практиков, инженеров-исследователей, специалистов-управленцев, экспертов-аналитиков и других."
34,Московский государственный технический университет имени Н.Э. Баумана,Москва,"г. Москва, 2-я Бауманская ул., д. 5, стр. 1",+7 (499) 263-63-91,bauman@bmstu.ru,http://www.bmstu.ru,"Ведущий технический вуз России, который находится в первой пятерке, как специализированных, так и общих рейтингов университетов. Программисты, закончившие Бауманку, известны во всем мире и востребованы не только в России, но и за рубежом."
35,Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,Москва,"г. Москва, Ленинский пр., д. 65, к. 1",+7 (499) 507-82-73,com@gubkin.ru,http://www.gubkin.ru,"Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина ведет подготовку специалистов для топливно-энергетического комплекса России, выполняет научные исследования по всему спектру основных технологий нефтегазового производства и активно внедряет свои разработки. Миссия РГУ нефти и газа (НИУ) имени И.М. Губкина - быть локомотивом производства новых знаний и гарантом обеспечения конкурентоспособности отечественных нефтегазовых технологий, главной кузницей специалистов - инноваторов, консолидирующей ресурсы высшей школы, академической и отраслевой наук для обеспечения технического прогресса нефтегазового производства как важнейшего фактора устойчивого развития РФ."
36,Московский педагогический государственный университет,Москва,"г. Москва, ул. Малая Пироговская, д. 1, стр. 1","+7 (499) 702-41-41, +7 (495) 438-18-47",priem@mpgu.edu,http://mpgu.su,"Университет готовит учителей по всем школьным предметам, дефектологов, социологов, журналистов, юристов, психологов и так далее. По некоторым направлениям подготовки в МПГУ можно получить степень бакалавра и магистра."
37,МГСУ - Национальный исследовательский Московский государственный строительный университет,Москва,"г. Москва, Ярославское ш., д. 26","+7 (495) 781-99-88 (call-центр), 287-49-14",priemkom@mgsu.ru,http://www.mgsu.ru,НИУ МГСУ - один из ведущих технических вузов и главный инженерно-строительный университет в России.
38,Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Петербург,"г. Санкт-Петербург, ул. 2-я Красноармейская, д. 4","+7 (812) 316-11-23, 316-20-26",prc@spbgasu.ru,http://www.spbgasu.ru,"Санкт-Петербургский государственный архитектурно-строительный университет (СПбГАСУ) — старейшее в России высшее учебное техническое заведение по подготовке высококвалифицированных инженеров, архитекторов, строителей."
39,Санкт-Петербургский государственный университет телекоммуникаций имени профессора М.А. Бонч-Бруевича,Санкт-Петербург,"г. Санкт-Петербург, пр-т Большевиков, д. 22, корп. 1",+7 (812) 305-12-18; +7 (812) 326-31-50,pk@sut.ru,http://www.sut.ru/,"СПбГУТ им. проф. М. А. Бонч-Бруевича предлагает самые востребованные рынком труда программы подготовки специалистов в областях связи и телекоммуникации, экономики, управления, рекламы и связи с общественностью."
40,Московский государственный технологический университет «Станкин»,Москва,"г. Москва, Вадковский пер., д. 1","+7 (499) 973-30-66, +7 (499) 972-94-00",abitur@stankin.ru,http://www.stankin.ru,МГТУ «Станкин»  - один из лидеров в подготовке инженерных кадров для станкоинструментальной промышленности - фундамента современного отечественного машиностроения.
41,Российский государственный педагогический университет имени А.И. Герцена,Санкт-Петербург,"г. Санкт-Петербург, наб. реки Мойки, д. 48","+7 (812) 312-44-92, +7 (812) 643-77-66 ",mail@herzen.spb.ru,http://www.herzen.spb.ru/,Российский государственный педагогический университет имени А.И. Герцена-  один из крупнейших вузов России. Университет был и остается главным инновационным центром подготовки педагогических кадров РФ.
42,Тюменский государственный университет,Тюмень,"г. Тюмень, ул. Ленина, д. 25",+7 (3452) 54-20-08,d.a.rejn@utmn.ru,https://www.utmn.ru,Тюменский государственный университет ведет подготовку специалистов по фундаментальным и множеству прикладных наук.
43,Мурманский государственный технический университет,Мурманск,"г. Мурманск, ул. Спортивная, д. 13","+7 (8152) 40-33-33, +7 (8152) 40-33-35, +7 (8152) 40-35-67",abit@mstu.edu.ru,http://www.mstu.edu.ru/,"За свою почти 70-летнюю историю Мурманский государственный технический университет приобрел статус ведущего технического вуза региона по подготовке высококвалифицированных специалистов не только для рыбной промышленности, но и для экономики Мурманской области, Арктического региона и страны в целом."
44,Южно-Уральский государственный университет,Челябинск,"г. Челябинск, пр. Ленина, д. 76",+7 (351) 267-94-52,prkom@susu.ru,https://www.susu.ru/ru,"Южно-Уральский государственный университет – один из ведущих вузов России. Университет ведет подготовку бакалавров, специалистов, магистров и аспирантов более чем по 300 направлениям технических, социально-экономических, юридических, естественно-научных и других областей."
45,Санкт-Петербургский государственный университет промышленных технологий и дизайна,Санкт-Петербург,"г. Санкт-Петербург, ул. Большая Морская, д. 18","+7 (812) 315-07-47, 571-81-49 (приемная комиссия)",priemcom@sutd.ru,http://www.sutd.ru,Санкт-Петербургский государственный университет промышленных технологий и дизайна – крупнейший многоуровневый университет России художественно-технологического профиля.
46,Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского,Саратов,"г. Саратов, ул. Астраханская, д. 83",+7 (8452) 51-92-26,cpk@info.sgu.ru,http://www.sgu.ru/,"Университет готовит специалистов по самым современным и востребованным сегодня направлениям - гуманитарным, естественно-научным, педагогическим, компьютерным и др."
47,"Национальный исследовательский университет ""МИЭТ""",Москва,"г. Зеленоград, пл. Шокина, д. 1",+7 (499) 734-02-42,abit@miee.ru,http://www.miet.ru,"Национальный исследовательский университет «МИЭТ» – ведущий технический вуз России в области высоких технологий. Современные лаборатории, свежий взгляд на образовательный процесс и уникальная интеграция образования, науки и промышленности делают МИЭТ лидером по подготовке специалистов в области микро- и наноэлектроники, телекоммуникаций и информационных технологий. Университет стабильно занимает высокие позиции в российских и международных рейтингах."
48,НГУ - Новосибирский национальный исследовательский государственный университет,Новосибирск,"г. Новосибирск, ул. Пирогова, д. 2","+7 (383) 330-85-90, +7 (383) 363-40-37",poly@admin.nsu.ru,https://nsu.ru/n/,"Новосибирский государственный университет – уникальное место, где сочетаются естественнонаучные, инженерные и гуманитарные компетенции. Здесь можно получить высококачественное высшее образование, чтобы в будущем строить карьеру в науке, образовании, технологиях, бизнесе и других сферах. Выпускники НГУ составляют научную и бизнес-элиту мирового уровня, востребованы в самых разных отраслях и уголках планеты."
49,Финансовый университет при Правительстве Российской Федерации,Москва,"г. Москва, Ленинградский пр-т, д. 49","+7 (495) 249-52-49, +7 (499) 943-98-55",priemka@fa.ru,http://www.fa.ru,"Финансовый университет - один из старейших российских вузов, готовящих экономистов, финансистов, юристов по финансовому праву, математиков, IT-специалистов, социологов и политологов."
50,Московский автомобильно-дорожный государственный технический университет,Москва,"г. Москва, Ленинградский пр-т, д. 64",+7 (499) 346-01-68 доб. 1100,info@madi.ru,http://www.madi.ru,Профильное направление МАДИ — подготовка специалистов в области автотранспорта и дорожного хозяйства.
51,Российский университет транспорта (МИИТ),Москва,"г. Москва, ул. Образцова, д. 9, стр. 9",+7 (495) 684-24-10,tu@miit.ru,http://miit.ru/portal/page/portal/miit,"Ведущий транспортный университет страны, базовое учебное заведение РЖД. Профильные направления обучения: инженерно-транспортные и строительные."
52,Московский открытый институт,Москва,"г. Москва, Ленинский пр-т, д. 38, лит. А","+7 (495) 648-62-26, +7 (800) 700-33-04",education@mti.edu.ru,http://mti.edu.ru/,"Московский открытый институт – один из лидеров дистанционного образования в России. Более 20 лет обучает студентов востребованным техническим и гуманитарным специальностям, применяя современные образовательные технологии."
53,Омский государственный университет им. Ф.М. Достоевского,Омск,"г. Омск, пр-т Мира, д. 55, лит. А",+7 (3812) 22-97-72 ,rector@omsu.ru,http://www.omsu.ru/,Омский государственный университет им. Ф.М. Достоевского готовит специалистов по широкому спектру направлений классического и современного университетского образования.
54,Омский государственный технический университет,Омск,"г. Омск, пр-т Мира, д. 11 ",+7 (3812) 65-26-37,info@omgtu.ru,http://www.omgtu.ru/,"Университет готовит инженеров широкого перечня специальностей для транспортной, машиностроительной, нефтехимической, энергетической отраслей, а также по гуманитарным, экономическим, информационным направлениям."
55,Санкт-Петербургский государственный университет аэрокосмического приборостроения,Санкт-Петербург,"г. Санкт-Петербург, ул. Большая Морская, д. 67",+7 (812) 710-65-10,common@aanet.ru,http://guap.ru/,"Университет готовит инженеров различных специализаций для отрасли аэрокосмического приборостроения, а также менеджеров, экономистов, юристов."
56,Московский политехнический университет,Москва,"г. Москва, ул. Б. Семеновская, д. 38",+7 (495) 223-05-23,priem@mospolytech.ru,http://mospolytech.ru/,"Университет выпускает инженерные команды для индустрий информационных технологий (IT), биотехнологии, интеллектуальной энергетики, беспилотного транспорта и машиностроения, а также специалистов в области издательского дела, медиаиндустрии и коммуникаций."
57,Государственный университет морского и речного флота имени адмирала С.О. Макарова,Санкт-Петербург,"г. Санкт-Петербург, ул. Двинская, д. 5/7","+7 (812) 748-97-12, +7 (812) 748-97-09",cent_do@gumrf.ru,www.gumrf.ru,"Государственный университет морского и речного флота имени адмирала С.О. Макарова готовит кадры для крупных компаний промышленности и судоходства, организаций, обеспечивающих функционирование береговой, портовой инфраструктуры, логистики и экономики, ледокольного обеспечения и других отраслей морского сектора."
58,Санкт-Петербургский государственный морской технический университет,Санкт-Петербург,"г. Санкт-Петербург, ул. Лоцманская, д. 3",+7 (812) 495-26-48,office@smtu.ru,https://www.smtu.ru/,"СПбГМТУ - единственный в России вуз, который на трех основных факультетах готовит морских инженеров-специалистов мирового класса по проектированию, постройке и технической эксплуатации морских судов, боевых надводных кораблей и подводных лодок, технических средств обеспечения разведки и добычи нефти, газа и других полезных ископаемых на морском дне."
59,Кубанский государственный университет,Краснодар,"г. Краснодар, ул. Ставропольская, д. 149",+7 (861) 219-95-01,rector@kubsu.ru,https://kubsu.ru/,Сегодня КубГУ — это  вуз классического университетского образования. В нем гармонично сочетаются естественные и гуманитарные направления подготовки.
60,"Московский финансово-промышленный университет ""Синергия""",Москва,"г. Москва, Ленинградский пр-т, д. 80",+7 (495) 280 3889; 8 800 100 1475,avasilev@synergy.ru,http://synergy.ru/,"Университет готовит управленцев в различных сферах экономики, финансистов, предпринимателей, юристов, маркетологов, IT-специалистов."
61,Национальный исследовательский Томский политехнический университет,Томск,"г. Томск, пр-т Ленина, д. 30",+7 (3822) 60-63-33,tpu@tpu.ru,http://tpu.ru/,"Университет готовит специалистов по программам подготовки гуманитарных, технических, естественно-научных направлений."
62,Кубанский государственный аграрный университет имени И.Т. Трубилина,Краснодар,"г. Краснодар, ул. Калинина, д. 13",+7 (861) 221-59-42,http://kubsau.ru/,http://kubsau.ru/,"Кубанский аграрный университет - один из признанных лидеров высшего аграрного образования в России, крупнейший на юге центр науки, образования и инноваций. Университет ведет подготовку по всем необходимым для сельскохозяйственной отрасти направлениям."
63,"Омский филиал Московского финансово-промышленного университета ""Синергия""",Омск,"г. Омск, пр-т Карла Маркса, д. 18, к. 10",+7 (3812) 37-30-19,prikom@omfpu.ru,http://oms.synergy.ru/,"Омский филиал ведет подготовку по программам высшего и дополнительного образования, в том числе с элементами дистанционных образовательных технологий."
